year,rate_pct,note
1971,7.54,
1972,7.38,
1973,8.04,
1974,9.19,
1975,9.05,
1976,8.86,
1977,8.84,
1978,9.63,
1979,11.20,
1980,13.74,Volcker shock begins
1981,16.63,Modern peak — Volcker rate hikes
1982,16.04,
1983,13.24,
1984,13.87,
1985,12.42,
1986,10.18,
1987,10.20,
1988,10.34,
1989,10.32,
1990,10.13,
1991,9.25,
1992,8.39,
1993,7.31,
1994,8.36,
1995,7.93,
1996,7.81,
1997,7.60,
1998,6.94,
1999,7.43,
2000,8.06,
2001,6.97,
2002,6.54,
2003,5.83,Fed cuts post-dotcom
2004,5.84,
2005,5.87,
2006,6.41,
2007,6.34,Subprime crisis begins
2008,6.03,
2009,5.04,QE1 begins
2010,4.69,
2011,4.45,
2012,3.66,
2013,3.98,
2014,4.17,
2015,3.85,
2016,3.65,
2017,3.99,
2018,4.54,
2019,3.94,
2020,3.11,COVID emergency QE
2021,2.96,All-time low
2022,5.34,Fed begins QT and rate hikes
2023,6.81,
2024,6.72,
2025,6.65,
2026,6.63,Sustained high-rate regime
